distance_plan_m,easting_epsg25832,northing_epsg25832,raw_dgm_nhn_m,model_nhn_m,bridge_estimated
165.99023,354081.45787,5578283.21277,626.08944,626.09602,0.00000
167.99011,354080.14233,5578284.72065,626.20571,626.20058,0.00000
169.99000,354078.83292,5578286.23379,626.30383,626.30256,0.00000
171.98988,354077.53084,5578287.75307,626.40323,626.39913,0.00000
173.98976,354076.23730,5578289.27934,626.49192,626.49043,0.00000
175.98964,354074.95351,5578290.81347,626.57673,626.57976,0.00000
177.98953,354073.68069,5578292.35630,626.67107,626.67048,0.00000
179.98941,354072.42004,5578293.90870,626.76401,626.76019,0.00000
181.98929,354071.17277,5578295.47152,626.84590,626.84451,0.00000
183.98917,354069.94010,5578297.04564,626.93601,626.91527,0.00000
185.98906,354068.72323,5578298.63190,627.01046,626.96386,1.00000
187.98894,354067.52225,5578300.23033,627.08902,626.99785,1.00000
189.98882,354066.33465,5578301.83900,627.16057,627.02745,1.00000
191.98870,354065.15752,5578303.45571,627.23011,627.05546,1.00000
193.98858,354063.98795,5578305.07823,627.31174,627.08214,1.00000
195.98847,354062.82305,5578306.70437,627.36729,627.10751,1.00000
197.98835,354061.65990,5578308.33190,627.40431,627.13161,1.00000
199.98823,354060.49566,5578309.95865,627.45018,627.15444,1.00000
201.98811,354059.32917,5578311.58371,627.47528,627.17603,1.00000
203.98800,354058.16140,5578313.20778,626.66259,627.19640,1.00000
205.98788,354056.99346,5578314.83163,625.64773,627.21558,1.00000
207.98776,354055.82646,5578316.45605,624.63412,627.23357,1.00000
209.98764,354054.66150,5578318.08182,623.63584,627.25041,1.00000
211.98753,354053.49969,5578319.70972,622.63905,627.26612,1.00000
213.98741,354052.34213,5578321.34054,621.69100,627.28071,1.00000
215.98729,354051.18993,5578322.97505,621.45040,627.29421,1.00000
217.98717,354050.04419,5578324.61405,621.39826,627.30664,1.00000
219.98706,354048.90602,5578326.25831,621.37934,627.31802,1.00000
221.98694,354047.77654,5578327.90862,621.35905,627.32836,1.00000
223.98682,354046.65683,5578329.56576,621.44798,627.33770,1.00000
225.98670,354045.54801,5578331.23051,622.08528,627.34605,1.00000
227.98658,354044.45118,5578332.90366,623.11567,627.35343,1.00000
229.98647,354043.36702,5578334.58568,624.16105,627.35987,1.00000
231.98635,354042.29375,5578336.27528,625.23368,627.36538,1.00000
233.98623,354041.22868,5578337.97053,626.30064,627.36999,1.00000
235.98611,354040.16916,5578339.66950,627.33606,627.37371,1.00000
237.98600,354039.11250,5578341.37027,627.53112,627.37657,1.00000
239.98588,354038.05605,5578343.07092,627.48525,627.37837,1.00000
241.98576,354036.99711,5578344.76950,627.44219,627.37663,1.00000
243.98564,354035.93304,5578346.46410,627.38059,627.36134,0.00000
245.98553,354034.86114,5578348.15279,627.33153,627.32168,0.00000
247.98541,354033.77876,5578349.83364,627.26300,627.26330,0.00000
249.98529,354032.68321,5578351.50473,627.20095,627.19737,0.00000
251.98517,354031.57184,5578353.16413,627.13048,627.12558,0.00000
253.98505,354030.44196,5578354.80991,627.04592,627.04830,0.00000
255.98494,354029.29099,5578356.44021,626.97488,626.96656,0.00000
257.98482,354028.12195,5578358.05874,626.87823,626.87821,0.00000
259.98470,354026.94724,5578359.67837,626.78400,626.78723,0.00000
261.98458,354025.77917,5578361.31187,626.70128,626.69644,0.00000
263.98447,354024.59678,5578362.93748,626.60267,626.60298,0.00000
265.98435,354023.33851,5578364.49129,626.50710,626.50767,0.00000
267.98423,354021.94139,5578365.90794,626.41506,626.41072,0.00000
269.98411,354020.40274,5578367.18399,626.30942,626.31080,0.00000
271.98400,354018.81031,5578368.40880,626.20956,626.21109,0.00000
273.98388,354017.20399,5578369.60939,626.11079,626.11627,0.00000
275.98376,354015.52694,5578370.69037,626.02385,626.03053,0.00000
277.98364,354013.74208,5578371.59127,625.95462,625.95260,0.00000
279.98352,354011.92449,5578372.42696,625.87786,625.87547,0.00000
281.98341,354010.06652,5578373.16462,625.79252,625.79858,0.00000
283.98329,354008.18108,5578373.83574,625.72452,625.72740,0.00000
285.98317,354006.26123,5578374.39166,625.66166,625.66175,0.00000
287.98305,354004.29848,5578374.77724,625.59822,625.59741,0.00000
289.98294,354002.30640,5578374.94668,625.53353,625.53096,0.00000
291.98282,354000.30768,5578374.88060,625.46426,625.45852,0.00000
293.98270,353998.32488,5578374.61868,625.38347,625.37501,0.00000
295.98258,353996.38188,5578374.14292,625.28389,625.27777,0.00000
297.98247,353994.52559,5578373.40183,625.17043,625.17146,0.00000
299.98235,353992.71446,5578372.54851,625.05747,625.06761,0.00000
301.98223,353990.92570,5578371.65325,624.97381,624.97318,0.00000
303.98211,353989.16600,5578370.70454,624.88174,624.88363,0.00000
305.98199,353987.44131,5578369.69271,624.80111,624.79178,0.00000
307.98188,353985.75379,5578368.61792,624.68906,624.69499,0.00000
309.98176,353984.10732,5578367.48009,624.59965,624.59807,0.00000
311.98164,353982.52010,5578366.26388,624.50585,624.49810,0.00000
